PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Nationality,Occupation,FamilySize,IsAlone,Deck,Title,AgeGroup,TravelPurpose,Survived
1,3,"Patel, Mr. Raj Mary",male,20.1,2,1,JF8W5KN,36.44,,S,Ireland,Doctor,4,0,Unknown,Mr,Adult,Immigration,0
2,3,"Lee, Mr. David Emma",male,41.7,0,0,R8TGFOF,26.74,,S,Finland,Labourer,1,1,Unknown,Mr,Adult,Immigration,0
3,3,"Khan, Dr. Raj James",male,20.0,3,1,8L01TIK,15.67,,S,USA,Doctor,5,0,Unknown,Dr,Adult,Business,0
4,2,"Murphy, Dr. Emma John",female,38.6,1,0,QFW2X6G,35.72,,S,England,Labourer,2,0,B,Dr,Adult,Family Visit,1
5,3,"Murphy, Mrs. Emma Ali",female,40.9,0,1,X27TNTW,23.99,,S,Lebanon,Merchant,2,0,Unknown,Mrs,Adult,Family Visit,0
6,3,"Garcia, Master. John James",male,18.8,2,2,K33XMHD,7.0,,S,Lebanon,Student,5,0,Unknown,Master,Teen,Family Visit,0
7,3,"Smith, Miss. Anna Ali",female,30.0,3,0,ISTBKIB,18.1,,S,Finland,Labourer,4,0,Unknown,Miss,Adult,Immigration,0
8,3,"Smith, Mr. Emma John",male,10.6,3,0,N3P7MZ0,10.98,,C,Germany,Labourer,4,0,Unknown,Mr,Child,Vacation,1
9,3,"Khan, Mrs. David John",female,41.0,1,0,DNBXJCQ,5.98,,S,Finland,Seamstress,2,0,Unknown,Mrs,Adult,Immigration,1
10,1,"Garcia, Master. James Anna",male,13.6,2,0,YTLABFP,70.69,,C,France,Doctor,3,0,E,Master,Teen,Vacation,0
11,1,"Brown, Master. John James",male,34.1,0,2,VK7M9UF,67.79,,S,Lebanon,Nurse,3,0,Unknown,Master,Adult,Business,1
12,2,"Khan, Mrs. Emma Ali",female,35.1,3,0,V63MUTP,43.33,,C,Italy,Clerk,4,0,C,Mrs,Adult,Business,1
13,1,"Garcia, Master. David Raj",male,28.7,0,0,6GI74TR,193.12,,S,USA,Clerk,1,1,A,Master,Adult,Business,0
14,2,"Garcia, Dr. Ali David",female,29.3,3,0,LDTS017,72.47,A40,S,Sweden,Teacher,4,0,A,Dr,Adult,Business,0
15,1,"Garcia, Mrs. Mary James",female,27.2,3,1,ZOH00HW,155.94,G120,C,Ireland,Seamstress,5,0,G,Mrs,Adult,Vacation,0
16,2,"Murphy, Dr. Ali Emma",female,21.4,0,0,BKNM9ED,51.27,C60,C,Lebanon,Teacher,1,1,C,Dr,Adult,Vacation,1
17,3,"Murphy, Master. James Ali",male,45.4,2,0,8QEOZLW,23.18,,S,France,Student,3,0,Unknown,Master,Adult,Business,0
18,1,"Martin, Dr. Emma Mary",female,24.7,0,0,U3LW3RO,98.87,,C,Italy,Clerk,1,1,B,Dr,Adult,Immigration,1
19,1,"Khan, Miss. Raj James",female,10.0,1,0,JYSFUXA,171.38,,C,Ireland,Seamstress,2,0,C,Miss,Child,Family Visit,1
20,3,"Brown, Master. Ali Anna",male,32.3,3,0,M1UJKYG,36.92,,S,Italy,Seamstress,4,0,Unknown,Master,Adult,Business,0
21,3,"Johnson, Dr. Ali Ali",male,26.1,0,0,X0124N3,38.33,,S,India,Nurse,1,1,Unknown,Dr,Adult,Family Visit,0
22,1,"Murphy, Dr. Anna John",male,47.3,1,0,CWQTDRL,161.52,,Q,England,Labourer,2,0,Unknown,Dr,Adult,Business,0
23,2,"Patel, Master. John David",male,0.8,3,2,A8EO8UB,24.31,A68,S,India,Labourer,6,0,A,Master,Child,Family Visit,0
24,1,"Murphy, Dr. David James",female,37.8,3,0,QCS1YJC,171.55,,C,England,Engineer,4,0,A,Dr,Adult,Vacation,0
25,3,"Martin, Dr. Ali Anna",female,32.3,1,2,2AOA5RC,13.86,,S,England,Teacher,4,0,Unknown,Dr,Adult,Family Visit,1
26,3,"Khan, Mr. Emma Anna",male,28.9,2,1,KDULQMM,8.76,,S,India,Businessman,4,0,Unknown,Mr,Adult,Immigration,0
27,3,"Lee, Dr. James Emma",male,52.5,3,0,JZ9IMTI,13.22,,S,Ireland,Doctor,4,0,Unknown,Dr,Adult,Business,0
28,1,"Brown, Master. Anna Raj",male,32.5,3,2,79HBTEI,90.82,E3,Q,Italy,Merchant,6,0,E,Master,Adult,Family Visit,0
29,3,"Murphy, Master. James Mary",male,32.4,2,1,OWM37P0,22.57,,S,India,Clerk,4,0,Unknown,Master,Adult,Business,0
30,1,"Brown, Master. Emma Emma",male,34.8,3,2,HYJBL1W,135.87,B36,S,India,Student,6,0,B,Master,Adult,Business,1
31,3,"Brown, Dr. Ali John",female,23.9,3,1,MH0YMBL,11.65,,S,England,Clerk,5,0,Unknown,Dr,Adult,Vacation,1
32,3,"Johnson, Dr. James John",female,26.1,0,1,I4JMT3U,23.75,,S,Finland,Merchant,2,0,Unknown,Dr,Adult,Family Visit,0
33,1,"Singh, Dr. Ali Emma",female,54.9,1,2,JDI7E9D,58.61,,S,India,Engineer,4,0,Unknown,Dr,Adult,Vacation,0
34,2,"Martin, Master. James Emma",male,19.4,0,2,DFELNAO,63.08,,S,Finland,Businessman,3,0,A,Master,Teen,Business,0
35,1,"Singh, Miss. Emma Mary",female,44.2,0,0,66SDXJW,143.46,,S,France,Seamstress,1,1,C,Miss,Adult,Vacation,0
36,2,"Khan, Mrs. James John",female,28.1,1,1,4DG4BX6,62.69,,S,Lebanon,Engineer,3,0,D,Mrs,Adult,Business,1
37,2,"Brown, Master. Anna John",male,18.6,3,1,5K3CFES,27.97,A129,S,England,Teacher,5,0,A,Master,Teen,Immigration,1
38,3,"Singh, Dr. David James",male,37.3,3,2,JJVTHDX,22.6,,S,England,Doctor,6,0,Unknown,Dr,Adult,Business,1
39,1,"Lee, Dr. Emma Raj",female,45.1,3,1,KGS26TD,110.31,,S,Finland,Labourer,5,0,Unknown,Dr,Adult,Vacation,1
40,3,"Martin, Master. John Mary",male,32.9,0,0,5AZ9WTC,5.07,,S,France,Labourer,1,1,Unknown,Master,Adult,Family Visit,0
41,3,"Khan, Miss. Ali Raj",female,32.7,1,0,UVIUJFA,29.0,,C,Italy,Merchant,2,0,Unknown,Miss,Adult,Family Visit,0
42,1,"Brown, Dr. James Ali",female,39.6,0,0,F1070OJ,77.52,D80,S,France,Doctor,1,1,D,Dr,Adult,Business,1
43,3,"Lee, Master. Mary John",male,31.1,1,2,LLZB4JI,23.57,,C,Lebanon,Clerk,4,0,Unknown,Master,Adult,Family Visit,1
44,1,"Johnson, Dr. Anna Anna",female,28.4,0,1,PCB7CA2,75.55,F14,Q,Sweden,Teacher,2,0,F,Dr,Adult,Business,1
45,3,"Lee, Mr. David Anna",male,35.1,0,0,U6SX0VB,23.16,,S,Germany,Student,1,1,Unknown,Mr,Adult,Immigration,0
46,3,"Garcia, Mrs. David Emma",female,32.0,3,1,FFMG7PF,20.75,,S,Finland,Student,5,0,Unknown,Mrs,Adult,Immigration,1
47,1,"Patel, Master. David Anna",male,56.2,1,1,J0LVCMP,54.32,G52,S,France,Merchant,3,0,G,Master,Adult,Vacation,0
48,1,"Murphy, Mr. Anna Ali",male,36.8,2,1,3SFYO57,161.83,G31,S,France,Clerk,4,0,G,Mr,Adult,Immigration,0
49,3,"Brown, Dr. Anna Raj",male,57.4,1,2,6JHYXGX,16.45,,C,France,Labourer,4,0,Unknown,Dr,Adult,Business,0
50,2,"Singh, Dr. Mary Raj",female,23.9,2,2,MI7550Q,20.22,C149,C,England,Engineer,5,0,C,Dr,Adult,Family Visit,1
51,1,"Johnson, Mrs. Ali David",female,22.5,0,2,MUHF66G,95.35,B55,Q,Germany,Labourer,3,0,B,Mrs,Adult,Immigration,1
52,3,"Brown, Master. Raj David",male,35.0,1,0,WXWNTZ1,7.88,,S,Italy,Merchant,2,0,Unknown,Master,Adult,Immigration,0
53,3,"Smith, Master. Ali David",male,19.0,2,0,5GCME9X,19.74,,C,England,Businessman,3,0,Unknown,Master,Teen,Family Visit,0
54,3,"Martin, Mrs. Emma James",female,50.5,1,0,J8PZ48X,36.92,,S,Ireland,Engineer,2,0,Unknown,Mrs,Adult,Vacation,1
55,3,"Garcia, Miss. Ali James",female,23.0,0,0,8Q30ENE,20.7,,S,England,Student,1,1,Unknown,Miss,Adult,Family Visit,0
56,3,"Johnson, Dr. Emma Anna",male,22.1,2,0,3P4AKNH,39.82,,S,France,Nurse,3,0,Unknown,Dr,Adult,Business,1
57,2,"Murphy, Mrs. Ali Emma",female,46.9,1,2,2MFAMLJ,63.49,,C,Lebanon,Teacher,4,0,Unknown,Mrs,Adult,Immigration,1
58,3,"Murphy, Miss. Ali Ali",female,29.6,0,1,1ZLIKQH,30.38,,S,Italy,Seamstress,2,0,Unknown,Miss,Adult,Immigration,1
59,1,"Khan, Master. Emma David",male,43.5,1,0,2GWL0XP,74.87,,S,Italy,Merchant,2,0,E,Master,Adult,Family Visit,0
60,2,"Garcia, Miss. Emma Emma",female,24.7,2,0,Q482ZGX,33.4,F99,C,Ireland,Engineer,3,0,F,Miss,Adult,Immigration,1
61,1,"Khan, Mr. James Ali",male,21.2,1,1,P1D5ZQ9,76.33,G26,S,India,Engineer,3,0,G,Mr,Adult,Family Visit,1
62,3,"Martin, Mrs. Mary Anna",female,30.6,0,1,JB91A8U,27.75,,C,Lebanon,Businessman,2,0,Unknown,Mrs,Adult,Vacation,0
63,2,"Garcia, Miss. Ali Raj",female,22.5,0,0,IGZ15RW,75.79,,S,Germany,Businessman,1,1,Unknown,Miss,Adult,Business,1
64,3,"Murphy, Miss. David Raj",female,14.4,0,2,XF1FG5Q,23.75,,S,France,Nurse,3,0,Unknown,Miss,Teen,Family Visit,1
65,2,"Patel, Miss. John James",female,41.0,3,2,SUID150,48.55,,S,France,Student,6,0,C,Miss,Adult,Vacation,1
66,1,"Patel, Master. John Mary",male,35.3,3,1,WBP814V,69.32,,S,Lebanon,Nurse,5,0,Unknown,Master,Adult,Immigration,0
67,3,"Patel, Master. David David",male,39.3,2,0,WH6D7JR,5.28,,S,England,Nurse,3,0,Unknown,Master,Adult,Family Visit,0
68,3,"Singh, Master. John Emma",male,35.4,2,2,FKX0C94,6.75,,S,Ireland,Clerk,5,0,Unknown,Master,Adult,Business,0
69,3,"Brown, Mr. James Mary",male,35.6,3,0,1939TRL,11.89,,C,Italy,Engineer,4,0,Unknown,Mr,Adult,Business,0
70,3,"Patel, Mr. Anna Anna",male,49.9,1,2,CZS1EGS,25.88,,C,India,Nurse,4,0,Unknown,Mr,Adult,Business,0
71,3,"Johnson, Miss. David Ali",female,50.4,2,0,BZKZHCM,23.82,,S,India,Businessman,3,0,Unknown,Miss,Adult,Family Visit,0
72,3,"Patel, Mr. John John",male,18.9,0,0,4KNM0QM,34.67,,S,England,Businessman,1,1,Unknown,Mr,Teen,Immigration,1
73,2,"Patel, Miss. Ali Mary",female,21.6,0,2,ROOVNU5,33.48,,S,India,Businessman,3,0,A,Miss,Adult,Family Visit,0
